Date,Open,High,Low,Close,Adj Close,Volume,Day
2014-02-28,404.799988,412.799988,402.399994,408.160004,408.160004,1106644,0
2014-03-03,410.880005,413.279999,395.359985,398.079987,398.079987,734294,1
2014-03-04,408.160004,413.920013,400.320007,409.279999,409.279999,1117519,2
2014-03-05,406.880005,412.640015,399.200012,404.799988,404.799988,928969,3
2014-03-06,404.320007,415.839996,401.440002,411.200012,411.200012,1085738,4
2014-03-07,413.600006,413.600006,404.480011,408.799988,408.799988,388063,5
2014-03-10,408.160004,412.480011,403.679993,411.519989,411.519989,389906,6
2014-03-11,407.839996,411.519989,405.119995,407.200012,407.200012,434719,7
2014-03-12,396.959991,402.079987,396.480011,399.519989,399.519989,639188,8
2014-03-13,392,393.76001,385.600006,388.959991,388.959991,814063,9
2014-03-14,391.040009,393.279999,387.519989,391.359985,391.359985,445194,10
2014-03-17,401.920013,403.200012,398.559998,398.559998,398.559998,587750,11
2014-03-18,396.640015,397.920013,393.600006,394.720001,394.720001,330056,12
2014-03-19,393.279999,397.600006,391.839996,395.679993,395.679993,190888,13
2014-03-20,391.679993,393.920013,386.23999,388.799988,388.799988,628038,14
2014-03-21,383.359985,384.799988,381.119995,383.679993,383.679993,556619,15
2014-03-24,381.279999,383.200012,379.359985,382.880005,382.880005,260869,16
2014-03-25,390.880005,394.720001,389.440002,392.959991,392.959991,681744,17
2014-03-26,390.720001,394.399994,388.160004,391.200012,391.200012,390700,18
2014-03-27,395.359985,407.040009,393.600006,401.600006,401.600006,926250,19
2014-03-28,403.200012,404,399.200012,400,400,385363,20
2014-03-31,390.23999,391.679993,386.720001,390.720001,390.720001,751631,21
2014-04-01,385.920013,386.880005,380.640015,381.440002,381.440002,607875,22
2014-04-02,387.200012,390.880005,385.279999,388.959991,388.959991,744850,23
2014-04-03,393.440002,399.519989,389.119995,395.359985,395.359985,741456,24
2014-04-04,396.320007,398.880005,393.920013,395.040009,395.040009,200344,25
2014-04-07,401.279999,402.720001,397.440002,398.720001,398.720001,508850,26
2014-04-08,402.399994,405.600006,402.23999,404.160004,404.160004,486300,27
2014-04-09,402.720001,409.279999,401.920013,407.200012,407.200012,414681,28
2014-04-10,404.799988,419.040009,403.040009,412.640015,412.640015,910044,29
2014-04-11,413.279999,414.23999,410.23999,411.839996,411.839996,205038,30
2014-04-14,404.640015,407.679993,404.480011,406.079987,406.079987,398281,31
2014-04-15,409.600006,412.480011,403.359985,407.040009,407.040009,316744,32
2014-04-16,405.920013,406.880005,402.880005,403.679993,403.679993,216194,33
2014-04-17,401.440002,421.920013,399.359985,420.799988,420.799988,1187800,34
2014-04-21,422.720001,424.799988,417.600006,418.079987,418.079987,211044,35
2014-04-22,420.320007,422.880005,419.200012,422.399994,422.399994,173169,36
2014-04-23,424,425.279999,420.320007,421.440002,421.440002,138800,37
2014-04-24,424.640015,426.559998,416,417.440002,417.440002,273488,38
2014-04-25,416,416,411.679993,413.119995,413.119995,394325,39
2014-04-28,421.600006,426.880005,421.119995,423.200012,423.200012,722775,40
2014-04-29,423.200012,429.76001,422.079987,429.279999,429.279999,461544,41
2014-04-30,422.559998,430.079987,421.279999,424.799988,424.799988,351500,42
2014-05-01,425.440002,426.079987,417.279999,417.76001,417.76001,394131,43
2014-05-02,420.480011,420.799988,414.23999,415.839996,415.839996,191581,44
2014-05-05,416.959991,419.040009,415.200012,416.480011,416.480011,182781,45
2014-05-06,423.359985,426.23999,422.399994,426.079987,426.079987,421675,46
2014-05-07,424.320007,424.480011,417.279999,420.799988,420.799988,365938,47
2014-05-08,417.920013,417.920013,404.320007,405.920013,405.920013,833794,48
2014-05-09,402.559998,403.040009,398.720001,401.76001,401.76001,350519,49
2014-05-12,395.679993,396.799988,392.160004,392.160004,392.160004,370338,50
2014-05-13,392.160004,393.279999,385.440002,387.359985,387.359985,385519,51
2014-05-14,388.160004,390.23999,384.640015,388.480011,388.480011,202456,52
2014-05-15,385.76001,399.679993,381.600006,394.079987,394.079987,617738,53
2014-05-16,391.519989,394.079987,390.720001,391.040009,391.040009,115725,54
2014-05-19,396.799988,400.320007,394.23999,396.160004,396.160004,585213,55
2014-05-20,397.920013,404,396.959991,402.23999,402.23999,275088,56
2014-05-21,400.799988,402.399994,395.519989,396.480011,396.480011,186594,57
2014-05-22,395.359985,398.399994,384.959991,386.880005,386.880005,645300,58
2014-05-23,389.279999,390.23999,386.23999,389.76001,389.76001,202281,59
2014-05-27,392.160004,399.519989,392.160004,397.279999,397.279999,469131,60
2014-05-28,400.959991,409.119995,400.160004,407.519989,407.519989,500306,61
2014-05-29,409.600006,411.519989,400.640015,404.799988,404.799988,391263,62
2014-05-30,398.880005,405.600006,397.119995,403.200012,403.200012,312881,63
2014-06-02,401.119995,408.640015,400.640015,408.320007,408.320007,342163,64
2014-06-03,411.040009,412.320007,407.040009,407.200012,407.200012,245944,65
2014-06-04,406.23999,411.519989,406.23999,411.200012,411.200012,199569,66
2014-06-05,413.600006,417.600006,405.600006,414.23999,414.23999,410806,67
2014-06-06,415.200012,418.880005,413.920013,418.079987,418.079987,241900,68
2014-06-09,414.399994,417.440002,410.079987,411.359985,411.359985,254269,69
2014-06-10,405.920013,407.359985,400.160004,401.279999,401.279999,389525,70
2014-06-11,403.200012,404.320007,398.399994,399.679993,399.679993,156150,71
2014-06-12,401.920013,421.600006,400.959991,419.679993,419.679993,1045463,72
2014-06-13,419.200012,422.23999,417.279999,420,420,210413,73
2014-06-16,418.399994,422.720001,413.119995,416.959991,416.959991,361344,74
2014-06-17,414.079987,418.880005,414.079987,416.480011,416.480011,148344,75
2014-06-18,419.200012,419.359985,411.040009,412.799988,412.799988,221125,76
2014-06-19,412.959991,415.839996,404.959991,406.559998,406.559998,385269,77
2014-06-20,402.720001,404.480011,400.480011,404.480011,404.480011,350950,78
2014-06-23,396.640015,398.399994,393.920013,395.040009,395.040009,401419,79
2014-06-24,397.440002,403.519989,396,400.959991,400.959991,461669,80
2014-06-25,405.440002,405.76001,399.679993,403.200012,403.200012,146919,81
2014-06-26,404,404,388.640015,392.160004,392.160004,829106,82
2014-06-27,388.480011,391.040009,385.76001,390.399994,390.399994,348575,83
2014-06-30,390.23999,396.160004,386.23999,393.600006,393.600006,234413,84
2014-07-01,390.880005,395.519989,390.399994,391.519989,391.519989,195194,85
2014-07-02,388.160004,388.480011,382.399994,384.160004,384.160004,523619,86
2014-07-03,382.720001,388.799988,381.76001,385.600006,385.600006,251919,87
2014-07-07,377.440002,378.23999,370.399994,373.600006,373.600006,546275,88
2014-07-08,370.399994,373.600006,364,372.799988,372.799988,555956,89
2014-07-09,371.040009,372.799988,367.040009,367.839996,367.839996,317338,90
2014-07-10,367.679993,369.440002,362.559998,363.040009,363.040009,248000,91
2014-07-11,363.519989,365.920013,362.399994,365.600006,365.600006,189038,92
2014-07-14,366.559998,367.200012,360.799988,366.23999,366.23999,188025,93
2014-07-15,364.799988,365.920013,359.839996,360.480011,360.480011,231738,94
2014-07-16,364.640015,365.600006,362.399994,362.559998,362.559998,203631,95
2014-07-17,357.600006,358.079987,347.040009,349.920013,349.920013,994519,96
2014-07-18,348.799988,349.600006,347.040009,348.320007,348.320007,146225,97
2014-07-21,343.040009,343.200012,338.720001,340.959991,340.959991,335931,98
2014-07-22,337.920013,338.559998,332.959991,333.279999,333.279999,276106,99
2014-07-23,335.040009,336.799988,332,332.320007,332.320007,281263,100
2014-07-24,333.920013,342.880005,333.920013,338.880005,338.880005,595444,101
2014-07-25,335.200012,335.519989,331.679993,333.279999,333.279999,225231,102
2014-07-28,339.200012,339.359985,329.440002,331.519989,331.519989,290731,103
2014-07-29,332.320007,337.119995,329.440002,336.640015,336.640015,303519,104
2014-07-30,332.480011,334.399994,330.079987,332.640015,332.640015,256563,105
2014-07-31,332.959991,342.559998,331.200012,337.600006,337.600006,661088,106
2014-08-01,334.720001,341.279999,334.079987,334.720001,334.720001,242700,107
2014-08-04,335.679993,339.359985,335.040009,339.040009,339.040009,170775,108
2014-08-05,343.040009,344.640015,341.76001,342.720001,342.720001,291069,109
2014-08-06,343.519989,347.519989,341.440002,347.359985,347.359985,324338,110
2014-08-07,349.279999,352,339.839996,342.399994,342.399994,466538,111
2014-08-08,344.959991,349.920013,343.839996,349.600006,349.600006,532025,112
2014-08-11,351.679993,351.839996,345.279999,350.720001,350.720001,338794,113
2014-08-12,349.440002,352.959991,348.160004,350.079987,350.079987,173650,114
2014-08-13,342.880005,343.839996,336.160004,336.959991,336.959991,735619,115
2014-08-14,338.399994,346.720001,338.23999,343.040009,343.040009,617013,116
2014-08-15,335.359985,335.519989,331.359985,333.600006,333.600006,739394,117
2014-08-18,334.079987,336.799988,332.799988,333.76001,333.76001,336363,118
2014-08-19,340.799988,343.839996,339.359985,340.959991,340.959991,610413,119
2014-08-20,339.519989,339.679993,334.23999,337.119995,337.119995,353794,120
2014-08-21,340.799988,344,334.399994,342.079987,342.079987,260813,121
2014-08-22,342.559998,343.040009,337.76001,339.359985,339.359985,134494,122
2014-08-25,345.76001,347.679993,344.640015,347.519989,347.519989,444400,123
2014-08-26,348.480011,348.959991,343.679993,346.23999,346.23999,155456,124
2014-08-27,349.76001,351.679993,343.200012,350.079987,350.079987,480500,125
2014-08-28,352.320007,356.959991,346.880005,353.600006,353.600006,382544,126
2014-08-29,350.399994,356.320007,350.23999,356.160004,356.160004,214431,127
2014-09-02,345.119995,347.359985,339.040009,340.959991,340.959991,828313,128
2014-09-03,337.600006,338.23999,334.23999,336.320007,336.320007,403406,129
2014-09-04,336.640015,338.559998,330.720001,334.23999,334.23999,462969,130
2014-09-05,333.119995,334.880005,329.920013,332.160004,332.160004,249806,131
2014-09-08,335.200012,339.040009,333.440002,338.23999,338.23999,429675,132
2014-09-09,347.839996,349.440002,345.920013,346.399994,346.399994,630900,133
2014-09-10,345.920013,346.559998,343.519989,344.640015,344.640015,250819,134
2014-09-11,339.040009,343.200012,332.160004,335.359985,335.359985,740281,135
2014-09-12,331.679993,336.640015,330.720001,335.519989,335.519989,229938,136
2014-09-15,342.720001,344.480011,340.480011,342.399994,342.399994,419613,137
2014-09-16,337.76001,348.959991,337.440002,348.160004,348.160004,422863,138
2014-09-17,349.76001,351.200012,348.640015,349.920013,349.920013,183725,139
2014-09-18,349.440002,350.079987,340.480011,341.440002,341.440002,501925,140
2014-09-19,336.160004,337.600006,334.720001,335.200012,335.200012,385331,141
2014-09-22,337.279999,338.079987,331.839996,335.519989,335.519989,210888,142
2014-09-23,337.920013,339.519989,331.839996,333.119995,333.119995,194494,143
2014-09-24,333.279999,341.119995,331.200012,338.880005,338.880005,316544,144
2014-09-25,336.640015,344.640015,332.160004,343.839996,343.839996,429594,145
2014-09-26,341.76001,346.559998,340.799988,345.279999,345.279999,342550,146
2014-09-29,348.320007,357.119995,347.519989,353.279999,353.279999,663056,147
2014-09-30,354.559998,356.640015,351.679993,353.76001,353.76001,368275,148
2014-10-01,355.839996,356.480011,344.640015,344.959991,344.959991,387756,149
2014-10-02,341.440002,344.799988,335.359985,340.480011,340.480011,694238,150
2014-10-03,339.679993,347.200012,339.359985,346.079987,346.079987,300344,151
2014-10-06,335.359985,337.600006,333.600006,335.359985,335.359985,635825,152
2014-10-07,334.720001,340.320007,334.559998,338.079987,338.079987,354644,153
2014-10-08,334.559998,336,329.279999,330.880005,330.880005,691475,154
2014-10-09,329.440002,338.079987,327.200012,331.839996,331.839996,650213,155
2014-10-10,331.839996,333.440002,328.959991,331.040009,331.040009,170831,156
